level=warn ts=2025-09-25T08:19:26.415994017Z caller=main.go:130 msg="-- CONFIGURATION WARNINGS --"
level=warn ts=2025-09-25T08:19:26.416056807Z caller=main.go:136 msg="Local backend will not correctly retrieve traces with a distributed deployment unless all components have access to the same disk. You should probably be using object storage as a backend."
level=info ts=2025-09-25T08:19:26.689980559Z caller=main.go:114 msg="Starting Tempo" version="(version=v2.8.2, branch=HEAD, revision=6b9261586)" target=distributor
level=info ts=2025-09-25T08:19:26.694977557Z caller=server.go:265 msg="server listening on addresses" http=[::]:3200 grpc=[::]:9095
ts=2025-09-25T08:19:26Z level=info msg="OTel Shim Logger Initialized" component=tempo
level=info ts=2025-09-25T08:19:26.796605978Z caller=memberlist_client.go:463 msg="Using memberlist cluster label and node name" cluster_label=tempo.monitoring node=tempo-distributor-544497c4bc-4nw27-e30bb777
level=info ts=2025-09-25T08:19:26.890019305Z caller=module_service.go:82 msg=starting module=internal-server
level=info ts=2025-09-25T08:19:26.890083682Z caller=module_service.go:82 msg=starting module=server
level=info ts=2025-09-25T08:19:26.89019773Z caller=module_service.go:82 msg=starting module=memberlist-kv
level=info ts=2025-09-25T08:19:26.890229859Z caller=module_service.go:82 msg=starting module=usage-report
level=info ts=2025-09-25T08:19:26.890283842Z caller=module_service.go:82 msg=starting module=ring
level=info ts=2025-09-25T08:19:26.890282419Z caller=module_service.go:82 msg=starting module=overrides
level=info ts=2025-09-25T08:19:26.890416061Z caller=module_service.go:82 msg=starting module=metrics-generator-ring
level=error ts=2025-09-25T08:19:46.894343808Z caller=memberlist_client.go:762 msg="failed to resolve members" addrs=dns+tempo-gossip-ring:7946 err="lookup IP addresses \"tempo-gossip-ring\": lookup tempo-gossip-ring on 10.96.0.10:53: read udp 10.244.1.3:50284->10.96.0.10:53: read: connection refused"
level=info ts=2025-09-25T08:19:46.894389859Z caller=memberlist_client.go:594 msg="memberlist fast-join starting" nodes_found=0 to_join=0
level=warn ts=2025-09-25T08:19:46.894401769Z caller=memberlist_client.go:614 msg="memberlist fast-join finished" joined_nodes=0 elapsed_time=20.005453766s
level=info ts=2025-09-25T08:19:46.894434831Z caller=memberlist_client.go:626 phase=startup msg="joining memberlist cluster" join_members=dns+tempo-gossip-ring:7946
level=info ts=2025-09-25T08:19:46.894516944Z caller=ring.go:361 msg="ring doesn't exist in KV store yet"
level=info ts=2025-09-25T08:19:46.89453918Z caller=ring.go:361 msg="ring doesn't exist in KV store yet"
level=info ts=2025-09-25T08:19:46.894636814Z caller=module_service.go:82 msg=starting module=distributor
ts=2025-09-25T08:19:46Z level=info msg="Starting HTTP server" component=tempo endpoint=0.0.0.0:4318
level=info ts=2025-09-25T08:19:46.896043267Z caller=app.go:211 msg="Tempo started"
level=error ts=2025-09-25T08:19:56.731637643Z caller=memberlist_client.go:762 msg="failed to resolve members" addrs=dns+tempo-gossip-ring:7946 err="lookup IP addresses \"tempo-gossip-ring\": lookup tempo-gossip-ring on 10.96.0.10:53: read udp 10.244.1.3:51382->10.96.0.10:53: read: connection refused"
level=warn ts=2025-09-25T08:19:56.731683741Z caller=memberlist_client.go:660 phase=startup msg="joining memberlist cluster" attempts=1 max_attempts=10 err="found no nodes to join"
level=error ts=2025-09-25T08:20:08.074082525Z caller=memberlist_client.go:762 msg="failed to resolve members" addrs=dns+tempo-gossip-ring:7946 err="lookup IP addresses \"tempo-gossip-ring\": lookup tempo-gossip-ring on 10.96.0.10:53: read udp 10.244.1.3:52682->10.96.0.10:53: read: connection refused"
level=warn ts=2025-09-25T08:20:08.07416443Z caller=memberlist_client.go:660 phase=startup msg="joining memberlist cluster" attempts=2 max_attempts=10 err="found no nodes to join"
level=info ts=2025-09-25T08:20:11.08250815Z caller=memberlist_client.go:633 phase=startup msg="joining memberlist cluster succeeded" reached_nodes=3 elapsed_time=24.353755717s
level=info ts=2025-09-25T08:20:41.205364369Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:21:11.185597946Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:21:41.161113935Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:22:11.142360565Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:22:41.125643468Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:23:11.107967098Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:23:41.096526145Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:24:11.08891995Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:24:41.083358534Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:25:11.080208265Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:25:41.07686734Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:26:11.07514939Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:26:41.073159395Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:27:11.070419504Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:27:41.06884561Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:28:11.066824866Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:28:41.065645933Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:29:11.063070009Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:29:41.061639997Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:30:11.059043966Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:30:41.058889519Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:31:11.056495918Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:31:41.054797355Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:32:11.053161279Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:32:41.051584281Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:33:11.051282971Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
level=info ts=2025-09-25T08:33:41.049221266Z caller=memberlist_client.go:552 msg="initiating cleanup of obsolete entries"
